data,prosmotry,laiki,kommentarii,dlitelnost,ssylka,opisanie,transkript
2023-08-28,2142545,118685,2729,65.5,https://www.instagram.com/p/CwfMcI7I7Si/,"Когда в жизни вы встречаете в вышей степени вежливого, открытого и расположенного к общению человека, никогда не забывайте, что у таких людей есть своя обратная, теневая сторона не менее сильная, чем их добрая и светлая сторона. 
Просто пройдя через всевозможные кризисы, сложнейшие жизненные ситуации, переломы, перевалы, теряя,  встречая людей, пройдя все, это привело их к этой точке. 
Они осознанно выбрали быть добрыми, открытыми и расположенными людьми.
У таких людей очень высокий уровень самоконтроля и одна из их сильных сторон - это контроль над слабостями.
Помните, что их обратная, их теневая сторона, она не исчезла, не умерла, она просто спит. 
Поэтому, никогда нельзя по потребительски относиться к их доброте, открытости и расположенности, так как это может очень дорого вам обойтись. 
Такие люди  могут сделать вам очень больно, и поэтому «не нужно будить зверя».

Консультирование и обучение - переходите по ссылке в шапке профиля","И знаете, что никогда нельзя забывать, когда вы встречаетесь в высшей степени доброго, открытого и расположенного к общению человека. Никогда не забывайте, что у таких людей есть и обратная сторона, причём не менее сильная, чем их добрая и светлая. Просто эти люди осознанно выбирают стоять на светлой стороне, потому что, проходя через различные жизненные кризисы, сложные ситуации, переломы, перевалы, теряя людей, встречая людей, они пришли до этой точки. Они осознанно выбирают быть добрыми, открытыми и расположенными к общению. У таких людей очень высокий уровень самоконтроля, и одна из их сильных сторон— это контроль над слабостями. И помните, их обратная, синевая сторона, она никуда не исчезла, она не умерла, она просто спит. И поэтому никогда не нужно потребительски относиться к их доброте, открытости и расположенности, потому что это может вам очень дорого обойтись. Такие люди могут вам сделать очень больно и поэтому не надо будить в них зверя."
2024-05-06,981223,35676,532,58.13333511,https://www.instagram.com/p/C6n2jwKiaOo/,"Знаете, когда вас начинают не замечать и ни во что не ставить? Когда вы слишком на многое закрываете глаза, слишком много прощайте, ставите запятые там, где нужно было поставить точку. 
Когда вы пытаетесь  понять и объяснить себе то, что понимать и объяснять себе не нужно. И 
со временем вас начинают не ценить и не во что не ставить. Это неизбежность. 
Это правило в отношениях нужно заучить как 2 × 2 - нужно установить и удерживать равновесие, баланс между тем, что вы даете тем, что вы получаете.
Только таким образом у вас не будет проблем с самооценкой, вы будете ощущать собственную ценность и не потеряете ценность в жизни партнера. 

✔️Консультирование и обучение violamaro.com - переходите по ссылке в шапке профиля

 ✔️Подписывайся на @viola.maro.psy 
И узнай больше о психологии отношений, самореализации, мотивации","А знаете, когда вас начинают не замечать, ни во что не ставить? Когда вы слишком много начинаете прощать. Когда вы на слишком многое начинаете закрывать глаза. Когда вы ставите слишком много... запятых, когда нужно поставить одну жирную точку, когда вы постоянно пытаетесь понять, объяснить себе то, что понимать и объяснять вообще не нужно. И таким образом со временем вас начинают ни во что не ставить, принимать как само собой разумеющейся, и это неизбежно. И вот это вот правило необходимо заучить буквально как дважды два. Необходимо установить и удерживать равновесие, баланс в отношениях. между тем, что вы даёте, и тем, что вы получаете. Только так у вас исчезнут проблемы с самооценкой, вы будете ощущать собственную ценность и останетесь ценностью для партнёра."
2025-01-14,15113,642,9,122.76667,https://www.instagram.com/p/DEzVpsNCjh0/,"Закон притяжения, аффирмации, вибрации, реализация желаемого — все это широко обсуждаемая тема. Но почему часто говорим о психологии? Да, это работа с психикой, но не стоит путать — на самом деле, речь идет о физике. Мы все, с самого рождения, притягиваем в свою жизнь реальность, которую находим вокруг себя. И здесь нет необходимости учиться этому — вы уже притягиваете, даже если не осознаете этого.

Но что, если вы хотите изменить свою реальность, выйти из текущей ситуации, которую не устраивает? Вот тут и включается психология. Если визуализации, аффирмации и вибрации не дают результата, это означает, что внутри вас существуют ограничивающие или блокирующие установки на уровне подсознания. И вот здесь психология становится ключом к решению.

Для того чтобы закон притяжения работал в полной мере, необходимо убрать эти ограничивающие программы. И именно психология помогает вам в этом!

Если вам интересно, как все это работает, и вы хотите научиться управлять своей реальностью, приходите на мастер-класс 31 января. Это уникальная возможность лучше понять скрытые механизмы вашего внутреннего мира и заставить закон притяжения работать на вас а не против вас!

✔️Консультирование и терапия 
🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 30 января 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
🔗violamaro.com - переходите по ссылке в шапке профиля",
2025-01-15,61698,2602,77,299,https://www.instagram.com/p/DE2DeDwigZK/,"Простить – это значит отпустить и больше не ждать от людей и ситуаций того, что они обещали или, по вашему мнению, должны были дать. Обида – это тяжелый груз, который в первую очередь давит на обиженного, а не на тех, кто, как кажется, остался в долгу. Обида – это психологическая упертость, это упорное ожидание, стиснув зубы, что вам вернут то, что вы считаете вам причитается по праву: любовь, понимание, доверие, деньги, или что-то другое, чего вы ждали от людей, банка, родителей. 

Почему вы этого ждете? Потому что считаете это правильным. Потому что вы верили, доверяли, были честными. Но ваше ожидание не оправдалось. Время прошло, и то, что вы ждете, вам никто не вернет. Более того, вы рискуете остаться в этой внутренней пустыне состояния ожидания навсегда.

Чтобы освободиться, нужно сознательно «закопать меч войны», кем бы или чем бы ни был ваш «враг». Нужно повторять себе, словно мантру: «Я больше не жду, что ты, что вы мне что-то вернете, дадите то, чего я так ждал, на что надеялся и во что верил. Я прощаю вас за этот долг передо мной, я прощаю вам эту обиду». 

Простите также и себя – за ошибки, за неверные шаги, за неудачные вложения. Только простив всех и вся, вы сможете освободиться внутри от тягостных негативных эмоций. Но это вовсе не значит, что вы должны после этого любить тех, кто вас обидел. Нет. 

Любовь не вырастает, как хвостик у ящурки , после прощения. Максимум, чего можно добиться, – это ровного отношения к человеку. Уважение, вежливость – да, но не любовь. Психика не сможет полюбить тех, кто предал ее доверие, кто забрал, но ничего не дал взамен, кто пользовался, но не возвращал. Психика никогда не прощает до конца. Не заставляйте себя любить обидчиков – это невозможно. Но научиться относиться к ним ровно – это уже очень и очень много.
И вот здесь, психология и психотерапия вам в помощь!

✔️Консультирование и терапия 
🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 30 января 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
🔗violamaro.com - переходите по ссылке в шапке профиля","Простить обиду. Простить обиды – это жизненно необходимо для каждого человека. Потому что простить – это значит отпустить и больше не ждать. Не ждать возврата, не ждать обещанного от людей, от ситуации. Не ждать того, что они должны были бы дать, но не дали. Того, что вы не получили, и это ожидание осталось у вас внутри. И вот обида – это тяжелейший груз прежде всего для обиженного человека, а не для тех, не для того, кто остался в долгу. Обида – это такое состояние психологической упёртости, это ожидание буквально со стиснутыми зубами того, что вам должны, обязаны вернуть. Вернуть любовь, вернуть понимание, вернуть доверие, вернуть деньги, вернуть непрожитую жизнь, вернуть что-то, что вы ждали от людей с ситуацией банков, но так и не получили. И почему мы вот так Упёрто стоим на своём. Почему мы держим обиду? Потому что мы верим, что это правильно. Мы верили, надеялись, мы любили, мы были открытыми, мы были честными. И нас обманули, нас предали, нам сделали больно, когда мы этого не ожидали, когда мы были открыты, когда мы доверяли. Но, к сожалению, наше ожидание не оправдалось, и мы находимся в ситуации, Разочарование. Время прошло, время идёт, обещанного нам уже никто не вернёт, мы сами это понимаем, но остаёмся ждать в этой внутренней пустыне, настойчиво стоим на своём и можем ждать обещанного вечно. Именно поэтому обиду отпустить так сложно. И что с этим делать? Нужно осознанно закопать меч этой войны. Нужно осознанно выйти из этого ожидания, выйти из этой битвы для того, чтобы освободиться внутри. Нужно буквально повторять как мантру «Я больше не буду ждать, я больше не жду того, что вы мне вернёте». вернёте то, на что я так надеялся, во что я так верил и что я так ждал. Я прощаю вам эту обиду, я прощаю вам этот долг передо мной. Но помимо прощения других людей и ситуации, нужно простить и себя за неправильные шаги, за ошибки, за потерянное время, за неправильно принятые решения. Только так Просив всё и всем, вы сможете освободиться внутри себя от негативных эмоций. Но это вовсе не означает, что после этого придёт любовь. Прощение не предполагает, что за ним придёт любовь, что после этого, простив человека, вы его полюбите. Нет, любовь не нарастает после прощения, как хвостик у ящерки. Простив человека, максимум, чего вы можете добиться, это некого равного, нейтрального к нему или же к ней отношения. То есть, если вы хотите отпустить обиды на родителей, которые остались внутри вас ещё с детства, после прощения любовь не нарастает. Прощение не трансформируется в любовь. Оно трансформируется, скорее, в такое спокойствие. Уважение – да. Вежливость – да. Любовь – нет. Даже когда вы проходите процесс терапии внутри себя, когда вы прощаете себя за ошибки, потом вам нужно научиться любить себя. Психика, на самом деле, никогда не прощает. Психика никогда не прощает обидчика, тех, кто предал её доверие, предал её любовь и открытость. Психика также не прощает тех, брал и ничего не давал взамен. Тех, кто пользовался её верой, доверием и любовью, пользовался, но не платил той же монетой. Психика никогда не прощает, поэтому не заставляйте любить себя тех, кто когда-то вас обидел, кто когда-то сделал вам больно. У вас это не получится. Не обманывайте себя. Но вы можете научиться относиться к ним ровно. Вы можете найти покой внутри себя, а это уже очень и очень много. И вот здесь психология и психотерапия вам в помощь."
2025-01-16,41206,1849,51,176.566666,https://www.instagram.com/p/DE47PAKCCAP/,"✔️Консультирование и терапия 
🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 30 января 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
🔗violamaro.com - переходите по ссылке в шапке профиля","Вот три вещи, о которых вам нужно знать, когда вы хотите изменить свою жизнь к лучшему, изменить свои отношения, изменить свою работу. Что-то поменять, потому что по-старому вы уже не можете, но, возможно, по-новому вы ещё не знаете как. Во-первых, настоящие изменения, к сожалению, происходят только тогда, когда вы достаточно настрадались. На самом деле человек по-настоящему готов изменить свою жизнь, измениться внутри, после того, когда он или же она испробовали всё, пытались проверить все гипотезы, которые позволят им существовать по-старому. в тех отношениях с тем человеком. И вот только тогда, когда перестаёт получаться по всем фронтам, когда мы, наконец, буквально упираемся в стену, буквально падаем на самое дно, только после того, когда вам достаточно сделали больно или после того, когда вы себя мучили достаточно, вы готовы действительно измениться. К сожалению, но это факт. И знаете что? Подавляющее большинство людей, если не сказать 99%, Готовы измениться не потому, что они хотят лучшего для себя, а потому, что им уже надоело находиться в худшем. Первичным побудителем к изменениям становится тот факт, что человек просто устал страдать. Во-вторых, не ждите, что ваши близкие, окружающие примут ваши изменения, что они будут буквально аплодировать стоя в процессе ваших изменений. Более того, весь парадокс заключен в том, что чаще всего близкие сначала стимулируют вам, они говорят, Тебе нужно что-то изменить, выходи из этих отношений, бросай этого человека, начинай что-то новое. Ты такой умный, такой гениальный. Они пытаются всячески вас стимулировать, вытащить вас из ямы. Но когда вы начинаете двигаться, когда вы начинаете меняться, они начинают проявлять себя по-другому. Говорят, нет, ты знаешь, ты стал другим, с тобой что-то не так. Говорят, что вы изменились, и причем не в лучшую сторону с их точки зрения. И как ни странно, очень много людей, которые побуждали вас выйти из болезненного и депрессивного состояния, в дальнейшем не готовы принять новую, лучшую версию вас самих. И в-третьих, не пытайтесь их переубеждать. На самом деле мы нуждаемся в препятствиях для того, чтобы выработать в себе более устойкую привычку к изменениям. Нам необходимо сопротивляться от чего-то, отталкиваться для того, чтобы более ритмично идти вперёд. То есть научитесь использовать энергию внутреннего сопротивления относительно тех, кто вас не принимает, не понимает для того, чтобы пройти самый сложный первичный этап изменений."
2025-01-29,38536,1847,49,240.03334,https://www.instagram.com/p/DFa3LK8CCYy/,"5 вещей, которые иногда нужно напоминать себе особенно мы проходим кризисы, разочарования или перекрестки нашей жизни:
 1 То, что больно — не значит, что ты принял неправильное решение. Правильные решения всегда сопровождаются болью роста.
 2 Твоя жизнь не так уж и плоха. Это не жизнь давит на тебя — это ты сам загоняешь себя в рамки перфекционизма. Позволь себе быть несовершенным, и твоя душа обретёт больше свободы.
 3 Никто не может удерживать тебя сильнее, чем та часть тебя, которая боится перемен. Осознанность — это понимание того, что самая большая битва идёт внутри тебя, а не с окружающими.
 4 Как бы высоко ты ни поднялся, если твой разум не обретёт покой, никакой успех не принесёт тебе удовлетворения.
 5 Ты не сможешь войти в новые двери возможностей, если продолжаешь тащить за собой прошлое.Оставь его позади, закрой ту дверь и посмотри, как далеко ты сможешь вырасти.

🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
✔️Консультирование и терапия
🔗violamaro.com - переходите по ссылке в шапке профиля","Вот пять вещей, которые нужно порой напоминать себе, когда мы проходим какие-то кризисные моменты, когда мы сталкиваемся с разочарованием или же просто проходим какие-то перекрёстки в нашей собственной жизни. Во-первых, иногда бывает больно. Боль – это не всегда показатель или же результат неправильно принятых нами решений. Очень многие этапы жизни, этапы роста связаны с болью. Даже рождение проходит через этап боли. Во-вторых, Нужно научиться относиться к жизни просто, здраво и трезво. Чаще всего это не жизнь плоха, и не стоит на неё сетовать. Чаще всего это мы сами загоняем себя в какие-то рамки. Это мы сами являемся заложниками и рабами, нашего перфекционизма, нашему внутреннему желанию соответствовать какому-то образу, который мы сами себе придумали или же который был нам навязан. Хотите быть более свободным? Прекратите быть сами себе абьюзерами и рабовладельцами. Не ограничивайте себя какими-то узкими и тесными вам жизненными ролями, И примите тот факт, что вы постоянно меняетесь, не существует вашего фиксированного образа. Вы 10 лет назад, 20 лет назад, неделю назад— это другой вы. Всё в жизни течёт и изменяется, и в том числе вы сами. В-третьих, никто, абсолютно никто не может вам препятствовать, не может вам помешать больше, чем вы сами, чем та часть вас самих, которая боится перемен. И поэтому осознанность— это понимание, что все проблемы, все сражения ведутся не вовне, врагов нужно искать не вовне. Все сражения, все противостояния происходят внутри вас. И только вы можете остановить эту внутреннюю битву и выбрать другой путь— путь развития, а не борьбы. В-четвёртых, как бы высоко вы ни поднимались, каких бы результатов и успехов вы ни достигали, если вы не обретёте покой вот здесь, если вы не обретёте внутреннее равновесие, внутренний баланс, никакая победа, никакой успех не принесёт вам удовлетворения. В-пятых, вы никогда не сможете увидеть, распознать новые возможности, открыть новые двери, до тех пор, пока вы тащите за собой своё прошлое, пока вы копаетесь в прошлом. И оставить прошлое позади— это означает не просто закрыть дверь, это буквально означает изменить ваш взгляд на мир, на вашу жизнь. Нужно перестать смотреть в зеркальце заднего вида, нужно перестать смотреть назад и начать смотреть вперёд. Даже если вы ещё не видите ваши невероятные горизонты и высоты, Достаточно смотреть себе под ноги. Даже если ещё впереди туман и неясость, вы видите, куда поставить ногу, вы видите, куда сделать ваш следующий шаг. Это уже много. Внутри себя достаточно знать хотя бы приблизительный ориентир вашего движения. Я двигаюсь туда, где мне хорошо, тепло, светло, радостно, где мне безопасно и я счастлив. Вот это ваш ориентир. И даже если вы не видите конечного пункта назначения, ваши ноги будут идти в правильном направлении. Достаточно, если вы просто будете видеть следующий шаг."
2025-01-30,14583,824,19,87.433334,https://www.instagram.com/p/DFczMUpCx8w/,"🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля

Иногда кажется, что желания сбываются слишком долго. Но знаете что? Это значит, что грядёт нечто по-настоящему значимое!

Всё ценное в жизни требует времени, энергии и веры. Великие перемены не случаются за один день, но они всегда приходят вовремя.

Ожидание — самый сложный этап. Но именно в этот момент вы становитесь тем человеком, который будет готов принять то, о чём мечтал.

Чем масштабнее цель, тем больше подготовки она требует. И это нормально! Ведь потрясающие вещи требуют потрясающего терпения.

Всему своё время, и когда ваше время настанет — каждая минута ожидания окажется оправданной. Хотите узнать, как ускорить этот процесс? Присоединяйтесь к нашему мастер-классу и узнайте, как работает закон притяжения!

🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
✔️Консультирование и терапия
🔗violamaro.com - переходите по ссылке в шапке профиля",
2025-01-30,22865,795,40,90.033333,https://www.instagram.com/p/DFdbt8GizLM/,"Есть одна очень извращённая психологическая модель поведения: когда рядом с вами человек, в присутствии которого вы постоянно чувствуете себя так, словно находитесь под микроскопом. Как будто вас непрерывно оценивают, осуждают, критикуют — даже если на лице такого человека всегда фальшиво-вежливая улыбка.

Вы чувствуете себя не на своём месте, неуверенно, неадекватно. В таких ситуациях невозможно чувствовать себя свободным, счастливым, спокойным — вы просто пытаетесь не ошибиться, не оступиться.

Важно осознать это и внутри себя выйти из этого уголка, в который вас загоняют. Это психологическая ловушка, несовместимая с жизнью, а лишь с выживанием.

В подобных обстоятельствах ваша реакция неизбежно будет уходить либо в агрессию, либо в депрессию.

Помните: в здоровой коммуникации  и отношениях, среди адекватных людей вы ведёте себя естественно и спонтанно. Если же вы постоянно ощущаете себя «под прицелом», то рано или поздно это приведёт к стрессу, неврозу и различным психосоматическим заболеваниям.

🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
✔️Консультирование и терапия
🔗violamaro.com - переходите по ссылке в шапке профиля",
2025-01-31,40442,1536,74,90.033333,https://www.instagram.com/p/DFffwo9ikPz/,"Если вы определяете себя как человека чувствительного, с повышенной чувствительностью, скорее всего, в прошлом вы не единожды ощущали себя другим, странным, отличающимся от окружающих. Ваше видение мира, ваше ощущение вещей, ваши чувства, ваши сопереживания они отличаются по качеству и глубине. 
Эти отличия, эти странности развили в вас особое внимание к собственному состоянию, к состоянию других людей. Вы — как живой радар, который настроен на состояние, эмоции других людей, вы за Гмечаете даже мельчайшие изменения.

Самая большая ошибка в отношении других людей, с которой сталкиваются такие чувствительные и эмпатичные натуры, — это ожидание встретить человека, точно такого же, как вы. 
Это очень сложно. 
Если у вас будет такое ожидание, с очень большой вероятностью вы или сталкиваетесь с чередой разочарований в людях. 
Максимально допустимое ожидание, которое может у вас быть, — это желание и ожидание встретить человека, который принимает, признаёт вашу чувствительность и уважает ваши особенности. 
И, знаете, это уже очень и очень немало.

🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
✔️Консультирование и терапия
🔗violamaro.com - переходите по ссылке в шапке профиля",
2025-02-01,34385,1554,37,43.933334,https://www.instagram.com/p/DFh_9k_Cnjw/,"🔥Мастер-Класс «Как работает Закон Притяжения - с научной и практической точки зрения» 🔗 для записи и участия переходите по ссылке в шапке профиля
🔥 Углубленный курс по саморазвитию и Практической Эмпатии 2.0
✔️Консультирование и терапия
🔗violamaro.com - переходите по ссылке в шапке профиля",
